Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Access Type,Source,EID
"Shrikanth, S., Szpunar, P.M., Szpunar, K.K.","Staying Positive in a Dystopian Future: A Novel Dissociation Between Personal and Collective Cognition",2018,"Journal of Experimental Psychology: General",,,,"","",,,10.1037/xge0000421,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044460484&doi=10.1037%2fxge0000421&partnerID=40&md5=ee64a15feae8402721781f9902ecea50",Article in Press,,Scopus,2-s2.0-85044460484
"Saunders, B., Riesel, A., Klawohn, J., Inzlicht, M.","Interpersonal Touch Enhances Cognitive Control: A Neurophysiological Investigation",2018,"Journal of Experimental Psychology: General",,,,"","",,,10.1037/xge0000412,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044196968&doi=10.1037%2fxge0000412&partnerID=40&md5=f49235c1a65a139392d900abd1a9c217",Article in Press,,Scopus,2-s2.0-85044196968
"Ludvig, E.A., Madan, C.R., McMillan, N., Xu, Y., Spetch, M.L.","Living Near the Edge: How Extreme Outcomes and Their Neighbors Drive Risky Choice",2018,"Journal of Experimental Psychology: General",,,,"","",,,10.1037/xge0000414,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044240052&doi=10.1037%2fxge0000414&partnerID=40&md5=c18f25a656c2c97ae034acaf9af4cb45",Article in Press,,Scopus,2-s2.0-85044240052
"Nguyen, A.T.T., Palmer, C.J., Otsuka, Y., Clifford, C.W.G.","Biases in Perceiving Gaze Vergence",2018,"Journal of Experimental Psychology: General",,,,"","",,,10.1037/xge0000398,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044186390&doi=10.1037%2fxge0000398&partnerID=40&md5=5945891b85161f21f8bcc78cca0bea86",Article in Press,,Scopus,2-s2.0-85044186390
"Landy, J.F., Bartels, D.M.","An Empirically-Derived Taxonomy of Moral Concepts",2018,"Journal of Experimental Psychology: General",,,,"","",,,10.1037/xge0000404,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043992150&doi=10.1037%2fxge0000404&partnerID=40&md5=d7a3764dcb55a7eebfebfa27eb7d9701",Article in Press,,Scopus,2-s2.0-85043992150
"Dodell-Feder, D., Tamir, D.I.","Fiction Reading Has a Small Positive Impact on Social Cognition: A Meta-Analysis",2018,"Journal of Experimental Psychology: General",,,,"","",,,10.1037/xge0000395,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042404002&doi=10.1037%2fxge0000395&partnerID=40&md5=d411410a48a380987afc398bdad97656",Article in Press,,Scopus,2-s2.0-85042404002
"Leong, Y.C., Zaki, J.","Unrealistic optimism in advice taking: A computational account",2018,"Journal of Experimental Psychology: General","147","2",,"170","189",,,10.1037/xge0000382,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034446459&doi=10.1037%2fxge0000382&partnerID=40&md5=0fa79e78aafc03806115aa27629cc4bc",Article,,Scopus,2-s2.0-85034446459
"Lick, D.J., Alter, A.L., Freeman, J.B.","Superior pattern detectors efficiently learn, activate, apply, and update social stereotypes",2018,"Journal of Experimental Psychology: General","147","2",,"209","227",,,10.1037/xge0000349,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85024495775&doi=10.1037%2fxge0000349&partnerID=40&md5=70c11ee2dc54b9610cbf40e8994afb7c",Article,,Scopus,2-s2.0-85024495775
"Bisby, J.A., Horner, A.J., Bush, D., Burgess, N.","Negative emotional content disrupts the coherence of episodic memories",2018,"Journal of Experimental Psychology: General","147","2",,"243","256",,,10.1037/xge0000356,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028361658&doi=10.1037%2fxge0000356&partnerID=40&md5=fc7f3485092f498ef64af5c401ca0ba9",Article,Open Access,Scopus,2-s2.0-85028361658
"Guterstam, A., Szczotka, J., Zeberg, H., Ehrsson, H.H.","Tool use changes the spatial extension of the magnetic touch Illusion",2018,"Journal of Experimental Psychology: General","147","2",,"298","303",,,10.1037/xge0000390,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041032520&doi=10.1037%2fxge0000390&partnerID=40&md5=cfcf75e1fb9d87f53211712f76f0fe1d",Article,,Scopus,2-s2.0-85041032520
"Rabagliati, H., Robertson, A., Carmel, D.","The importance of awareness for understanding language",2018,"Journal of Experimental Psychology: General","147","2",,"190","208",,,10.1037/xge0000348,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041030127&doi=10.1037%2fxge0000348&partnerID=40&md5=273ca564fbfa2285781cfa62349c6426",Article,,Scopus,2-s2.0-85041030127
"Mills, M., Boychuk, P., Chasteen, A.L., Pratt, J.","Attention goes both ways: Shifting attention influences lexical decisions",2018,"Journal of Experimental Psychology: General","147","2",,"282","291",,,10.1037/xge0000388,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041070985&doi=10.1037%2fxge0000388&partnerID=40&md5=eace22221623c8e506a9348ebab0de5b",Article,,Scopus,2-s2.0-85041070985
"Pachur, T., Schulte-Mecklenbeck, M., Murphy, R.O., Hertwig, R.","Prospect theory reflects selective allocation of attention",2018,"Journal of Experimental Psychology: General","147","2",,"147","169",,,10.1037/xge0000406,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041086398&doi=10.1037%2fxge0000406&partnerID=40&md5=4cd6d016ec9564fdf5e2deea8c93b591",Article,,Scopus,2-s2.0-85041086398
"Brown-Iannuzzi, J.L., McKee, S., Gervais, W.M.","Atheist horns and religious halos: Mental representations of atheists and theists",2018,"Journal of Experimental Psychology: General","147","2",,"292","297",,,10.1037/xge0000376,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034429183&doi=10.1037%2fxge0000376&partnerID=40&md5=2f96d2d5f5b51663cd9541ae55d5fcd0",Article,,Scopus,2-s2.0-85034429183
"Lindström, B., Jangard, S., Selbing, I., Olsson, A.","The role of a ""common is moral"" heuristic in the stability and change of moral norms",2018,"Journal of Experimental Psychology: General","147","2",,"228","242",,,10.1037/xge0000365,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029034453&doi=10.1037%2fxge0000365&partnerID=40&md5=bc94453fdca313b2bded8bfd71aa93a5",Article,,Scopus,2-s2.0-85029034453
"Chuderski, A., Jastrzebski, J.","Much ado about aha!: Insight problem solving is strongly related to working memory capacity and reasoning ability",2018,"Journal of Experimental Psychology: General","147","2",,"257","281",,1,10.1037/xge0000378,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041021010&doi=10.1037%2fxge0000378&partnerID=40&md5=4a37f8b32fb2b022115c40ccff633112",Article,,Scopus,2-s2.0-85041021010
"Koriat, A.","When Reality Is Out of Focus: Can People Tell Whether Their Beliefs and Judgments Are Correct or Wrong?",2018,"Journal of Experimental Psychology: General",,,,"","",,,10.1037/xge0000397,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040946034&doi=10.1037%2fxge0000397&partnerID=40&md5=8833838f6033f35eab1780ab312265b6",Article in Press,,Scopus,2-s2.0-85040946034
"Sahakyan, L., Kwapil, T.R.","Moving Beyond Summary Scores: Decomposing Free Recall Performance to Understand Episodic Memory Deficits in Schizotypy",2018,"Journal of Experimental Psychology: General",,,,"","",,,10.1037/xge0000401,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040943209&doi=10.1037%2fxge0000401&partnerID=40&md5=9894ac3fb5e94097232adc2fff1abcc7",Article in Press,,Scopus,2-s2.0-85040943209
"Newell, B.R., Le Pelley, M.E.","Perceptual But Not Complex Moral Judgments Can Be Biased by Exploiting the Dynamics of Eye-Gaze",2018,"Journal of Experimental Psychology: General",,,,"","",,,10.1037/xge0000386,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040736402&doi=10.1037%2fxge0000386&partnerID=40&md5=d3214be2d5cabb0c0f5d8e661f2bc662",Article in Press,,Scopus,2-s2.0-85040736402
"Seli, P., Smilek, D., Ralph, B.C.W., Schacter, D.L.","The Awakening of the Attention: Evidence for a Link Between the Monitoring of Mind Wandering and Prospective Goals",2018,"Journal of Experimental Psychology: General",,,,"","",,,10.1037/xge0000385,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040719876&doi=10.1037%2fxge0000385&partnerID=40&md5=bf88f6daedf13901c687fc3ef5fd0b4c",Article in Press,,Scopus,2-s2.0-85040719876
"Powers, K.E., Yaffe, G., Hartley, C.A., Davidow, J.Y., Kober, H., Somerville, L.H.","Consequences for Peers Differentially Bias Computations About Risk Across Development",2018,"Journal of Experimental Psychology: General",,,,"","",,,10.1037/xge0000389,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040715658&doi=10.1037%2fxge0000389&partnerID=40&md5=1b4ed5f40a5aed6d45bd13788d6cd8ff",Article in Press,,Scopus,2-s2.0-85040715658
"Tennant, R.J., Hsee, C.K.","Hedonic nondurability revisited: A case for two types",2017,"Journal of Experimental Psychology: General","146","12",,"1749","1760",,,10.1037/xge0000377,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041623429&doi=10.1037%2fxge0000377&partnerID=40&md5=41f5b2b68d02247ffb1afdd1f237085c",Article,,Scopus,2-s2.0-85041623429
"Vesper, C., Schmitz, L., Knoblich, G.","Modulating action duration to establish nonconventional communication",2017,"Journal of Experimental Psychology: General","146","12",,"1722","1737",,,10.1037/xge0000379,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041598788&doi=10.1037%2fxge0000379&partnerID=40&md5=202d79f36458eb6a10ff4d30a78663f1",Article,,Scopus,2-s2.0-85041598788
"Risko, E.F., Huh, M., McLean, D., Ferguson, A.M.","On the prospect of knowing: Providing solutions can reduce persistence",2017,"Journal of Experimental Psychology: General","146","12",,"1677","1693",,,10.1037/xge0000334,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041583701&doi=10.1037%2fxge0000334&partnerID=40&md5=3ea9a20ab1f85cc70731a5c35e10d799",Article,,Scopus,2-s2.0-85041583701
"Pacer, M., Lombrozo, T.","Ockham's Razor cuts to the root: Simplicity in causal explanation",2017,"Journal of Experimental Psychology: General","146","12",,"1761","1780",,,10.1037/xge0000318,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041561954&doi=10.1037%2fxge0000318&partnerID=40&md5=9e6a9c2432b837176178e894558ef0b7",Article,,Scopus,2-s2.0-85041561954
[No author name available],"Correction: Sex Differences in the Spatial Representation of Number [Journal of Experimental Psychology: General, 142, 1, (2013) (181-192)] DOI: 10.1037/a0028387",2017,"Journal of Experimental Psychology: General","146","12", 1737,"","",,,10.1037/xge0000264,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041610496&doi=10.1037%2fxge0000264&partnerID=40&md5=dbae70c0a247d315ed4ee28f9351432b",Erratum,,Scopus,2-s2.0-85041610496
"Wang, F.H., Zevin, J.D., Mintz, T.H.","Top-down structure influences learning of nonadjacent dependencies in an artificial language",2017,"Journal of Experimental Psychology: General","146","12",,"1738","1748",,,10.1037/xge0000384,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041562428&doi=10.1037%2fxge0000384&partnerID=40&md5=ba3600c0284313b83fe54d8a9f0cabf4",Article,,Scopus,2-s2.0-85041562428
"Greenwald, A.G., De Houwer, J.","Unconscious conditioning: Demonstration of existence and difference from conscious conditioning",2017,"Journal of Experimental Psychology: General","146","12",,"1705","1721",,,10.1037/xge0000371,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041566197&doi=10.1037%2fxge0000371&partnerID=40&md5=dcc3479f6e0d1e080cb94c5bf1ae57e5",Article,,Scopus,2-s2.0-85041566197
"Rinaldi, L., Vecchi, T., Fantino, M., Merabet, L.B., Cattaneo, Z.","The Ego-Moving Metaphor of Time Relies on Visual Experience: No Representation of Time Along the Sagittal Space in the Blind",2017,"Journal of Experimental Psychology: General",,,,"","",,,10.1037/xge0000373,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034430825&doi=10.1037%2fxge0000373&partnerID=40&md5=f30c6fdc1e6f312a8cfe1134571b75ec",Article in Press,,Scopus,2-s2.0-85034430825
"Brainerd, C.J., Reyna, V.F.","Complementarity in False Memory Illusions",2017,"Journal of Experimental Psychology: General",,,,"","",,,10.1037/xge0000381,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034444282&doi=10.1037%2fxge0000381&partnerID=40&md5=4029cf75de6a1e340e5f9ecbc99785da",Article in Press,,Scopus,2-s2.0-85034444282
"Schwarz, K.A., Pfister, R., Kluge, M., Weller, L., Kunde, W.","Do We See It or Not? Sensory Attenuation in the Visual Domain",2017,"Journal of Experimental Psychology: General",,,,"","",,,10.1037/xge0000353,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034417227&doi=10.1037%2fxge0000353&partnerID=40&md5=ef89cc610221c2b5027903bee01fe8dd",Article in Press,,Scopus,2-s2.0-85034417227
"Questienne, L., Atas, A., Burle, B., Gevers, W.","Objectifying the Subjective: Building Blocks of Metacognitive Experiences in Conflict Tasks",2017,"Journal of Experimental Psychology: General",,,,"","",,,10.1037/xge0000370,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034440850&doi=10.1037%2fxge0000370&partnerID=40&md5=9455da992f218e4bc16e368ad3284771",Article in Press,,Scopus,2-s2.0-85034440850
"Brandimarte, L., Vosgerau, J., Acquisti, A.","Differential Discounting and Present Impact of Past Information",2017,"Journal of Experimental Psychology: General",,,,"","",,,10.1037/xge0000372,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034437185&doi=10.1037%2fxge0000372&partnerID=40&md5=7236812b14d50390bdd1a9158b4dbcb0",Article in Press,,Scopus,2-s2.0-85034437185
"Murphy, J., Catmur, C., Bird, G.","Alexithymia Is Associated With a Multidomain, Multidimensional Failure of Interoception: Evidence From Novel Tests",2017,"Journal of Experimental Psychology: General",,,,"","",,3,10.1037/xge0000366,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034449778&doi=10.1037%2fxge0000366&partnerID=40&md5=1fb1d667d7e84ae926f83be3c2799515",Article in Press,Open Access,Scopus,2-s2.0-85034449778
"Jara-Ettinger, J., Floyd, S., Tenenbaum, J.B., Schulz, L.E.","Children understand that agents maximize expected utilities",2017,"Journal of Experimental Psychology: General","146","11",,"1574","1585",,,10.1037/xge0000345,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023760724&doi=10.1037%2fxge0000345&partnerID=40&md5=2533125a123b697e3b9fdf2ed721ace9",Article,,Scopus,2-s2.0-85023760724
"Kane, M.J., Smeekens, B.A., von Bastian, C.C., Lurquin, J.H., Carruth, N.P., Miyake, A.","A combined experimental and individual-differences investigation into mind wandering during a video lecture",2017,"Journal of Experimental Psychology: General","146","11",,"1649","1674",,,10.1037/xge0000362,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032670337&doi=10.1037%2fxge0000362&partnerID=40&md5=3348dceb957bb553ee779ea225fa731c",Article,,Scopus,2-s2.0-85032670337
"Huque, A.U., Poliakoff, E., Brown, R.J.","Effects of learning on somatosensory decision-making and experiences",2017,"Journal of Experimental Psychology: General","146","11",,"1631","1648",,,10.1037/xge0000364,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030032101&doi=10.1037%2fxge0000364&partnerID=40&md5=c4eb3bfe2d4521491debdc3039fced36",Article,,Scopus,2-s2.0-85030032101
"Stasenko, A., Matt, G.E., Gollan, T.H.","A relative bilingual advantage in switching with preparation: Nuanced explorations of the proposed association between bilingualism and task switching",2017,"Journal of Experimental Psychology: General","146","11",,"1527","1550",,,10.1037/xge0000340,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023771161&doi=10.1037%2fxge0000340&partnerID=40&md5=86752f3b46d8c38434b5a4d391ae850d",Article,,Scopus,2-s2.0-85023771161
"Ricker, T.J., Hardman, K.O.","The nature of short-term consolidation in visual working memory",2017,"Journal of Experimental Psychology: General","146","11",,"1551","1573",,1,10.1037/xge0000346,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023195624&doi=10.1037%2fxge0000346&partnerID=40&md5=66c252acdac4aac13afc671a18bf2b16",Article,,Scopus,2-s2.0-85023195624
"Theriault, J., Waytz, A., Heiphetz, L., Young, L.","Examining overlap in behavioral and neural representations of morals, facts, and preferences",2017,"Journal of Experimental Psychology: General","146","11",,"1586","1605",,,10.1037/xge0000350,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027302360&doi=10.1037%2fxge0000350&partnerID=40&md5=35d6d5f2ab9d5e48a17fc7a174bc295f",Article,,Scopus,2-s2.0-85027302360
"Sun, S.Z., Fidalgo, C., Barense, M.D., Lee, A.C.H., Cant, J.S., Ferber, S.","Erasing and blurring memories: The differential impact of interference on separate aspects of forgetting",2017,"Journal of Experimental Psychology: General","146","11",,"1606","1630",,1,10.1037/xge0000359,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029814594&doi=10.1037%2fxge0000359&partnerID=40&md5=44dfc4ab427049c109e28c7afe2f9ed5",Article,,Scopus,2-s2.0-85029814594
"Gordon, I., Berson, Y.","Oxytocin Modulates Charismatic Influence in Groups",2017,"Journal of Experimental Psychology: General",,,,"","",,,10.1037/xge0000375,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032262328&doi=10.1037%2fxge0000375&partnerID=40&md5=4b9f1e29105f2a3557a8d61a09d054e5",Article in Press,,Scopus,2-s2.0-85032262328
"Martiny-Huenger, T., Martiny, S.E., Parks-Stamm, E.J., Pfeiffer, E., Gollwitzer, P.M.","From conscious thought to automatic action: A simulation account of action planning",2017,"Journal of Experimental Psychology: General","146","10",,"1513","1525",,,10.1037/xge0000344,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023203803&doi=10.1037%2fxge0000344&partnerID=40&md5=49470eca7c2d8b32343baf96c15e0758",Article,,Scopus,2-s2.0-85023203803
"Tamir, M., Schwartz, S.H., Oishi, S., Kim, M.Y.","The secret to happiness: Feeling good or feeling right?",2017,"Journal of Experimental Psychology: General","146","10",,"1448","1459",,,10.1037/xge0000303,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027369618&doi=10.1037%2fxge0000303&partnerID=40&md5=1258e2093914fdfb0ecf90ad540463fe",Article,,Scopus,2-s2.0-85027369618
"Ruzzoli, M., Soto-Faraco, S.","Modality-switching in the simon task: THE clash of reference frames",2017,"Journal of Experimental Psychology: General","146","10",,"1478","1497",,1,10.1037/xge0000342,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021705830&doi=10.1037%2fxge0000342&partnerID=40&md5=c4071ad33526b0424b218b471913a227",Article,,Scopus,2-s2.0-85021705830
"Schubert, A.-L., Hagemann, D., Frischkorn, G.T.","Is general intelligence little more than the speed of higher-order processing?",2017,"Journal of Experimental Psychology: General","146","10",,"1498","1512",,,10.1037/xge0000325,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023189325&doi=10.1037%2fxge0000325&partnerID=40&md5=bd0734de88fd745fab6fdb38be7b7748",Article,,Scopus,2-s2.0-85023189325
"Gökaydin, D., Brugger, P., Loetscher, T.","Sequential effects modulate spatial biases",2017,"Journal of Experimental Psychology: General","146","10",,"1438","1447",,,10.1037/xge0000358,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028761847&doi=10.1037%2fxge0000358&partnerID=40&md5=812e8ab216253d93b75e3882dfb1c73f",Article,,Scopus,2-s2.0-85028761847
"Holcombe, A.O., Nguyen, E.H.L., Goodbourn, P.T.","Implied reading direction and prioritization of letter encoding",2017,"Journal of Experimental Psychology: General","146","10",,"1420","1437",,,10.1037/xge0000357,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029065246&doi=10.1037%2fxge0000357&partnerID=40&md5=14264e9123896950d47e54ffa3961945",Article,,Scopus,2-s2.0-85029065246
"Manchi Chao, M., Visaria, S., Mukhopadhyay, A., Dehejia, R.","Do rewards reinforce the growth mindset?: Joint effects of the growth mindset and incentive schemes in a field intervention",2017,"Journal of Experimental Psychology: General","146","10",,"1402","1419",,,10.1037/xge0000355,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027370681&doi=10.1037%2fxge0000355&partnerID=40&md5=ff9a57de963bf88f6de6b1960b96bef4",Article,,Scopus,2-s2.0-85027370681
"Stanley, M.L., Dougherty, A.M., Yang, B.W., Henne, P., De Brigard, F.","Reasons Probably Won't Change Your Mind: The Role of Reasons in Revising Moral Decisions",2017,"Journal of Experimental Psychology: General",,,,"","",,,10.1037/xge0000368,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029483364&doi=10.1037%2fxge0000368&partnerID=40&md5=9dc163f3cf32c6bf2be37b24945816b4",Article in Press,,Scopus,2-s2.0-85029483364
"Mkrtchian, A., Roiser, J.P., Robinson, O.J.","Threat of shock and aversive inhibition: Induced anxiety modulates Pavlovian-instrumental interactions",2017,"Journal of Experimental Psychology: General","146","12",,"1694","1704",,,10.1037/xge0000363,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029296714&doi=10.1037%2fxge0000363&partnerID=40&md5=2b71ae59926d3ce86f52a677040556a8",Article,Open Access,Scopus,2-s2.0-85029296714
"Wilson, B.M., Seale-Carlisle, T.M., Mickes, L.","The Effects of Verbal Descriptions on Performance in Lineups and Showups",2017,"Journal of Experimental Psychology: General",,,,"","",,,10.1037/xge0000354,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028756664&doi=10.1037%2fxge0000354&partnerID=40&md5=bfc90d44edef0283598d0ffcd3e176a0",Article in Press,,Scopus,2-s2.0-85028756664
"von Bastian, C.C., Druey, M.D.","Shifting between mental sets: An individual differences approach to commonalities and differences of task switching components",2017,"Journal of Experimental Psychology: General","146","9",,"1266","1285",,1,10.1037/xge0000333,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028439099&doi=10.1037%2fxge0000333&partnerID=40&md5=30610d9f1ff302bb2325ae21be259017",Article,,Scopus,2-s2.0-85028439099
"Lamer, S.A., Weisbuch, M., Sweeny, T.D.","Spatial cues influence the visual perception of gender",2017,"Journal of Experimental Psychology: General","146","9",,"1366","1371",,,10.1037/xge0000339,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023773008&doi=10.1037%2fxge0000339&partnerID=40&md5=c7ed6c1ac02869fb4964aa203f484bd7",Article,,Scopus,2-s2.0-85023773008
"Mrkva, K., Boven, L.V.","Attentional accounting: Voluntary spatial attention increases budget category prioritization",2017,"Journal of Experimental Psychology: General","146","9",,"1296","1306",,,10.1037/xge0000347,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023197754&doi=10.1037%2fxge0000347&partnerID=40&md5=a887fb4646414aa9e10381d3647c4b66",Article,,Scopus,2-s2.0-85023197754
"Gronau, Q.F., Duizer, M., Bakker, M., Wagenmakers, E.-J.","Bayesian mixture modeling of significant p values: A meta-analytic method to estimate the degree of contamination from H<inf>0</inf>",2017,"Journal of Experimental Psychology: General","146","9",,"1223","1233",,,10.1037/xge0000324,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028430779&doi=10.1037%2fxge0000324&partnerID=40&md5=290d4c474a9a56b8a27a54555a90c751",Article,,Scopus,2-s2.0-85028430779
"Brown, N.J.L., Coyne, J.C.","Emodiversity: Robust predictor of outcomes or statistical artifact?",2017,"Journal of Experimental Psychology: General","146","9",,"1372","1377",,,10.1037/xge0000330,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028395156&doi=10.1037%2fxge0000330&partnerID=40&md5=c1d7f74db0f9dc94c0d7468c200df286",Article,,Scopus,2-s2.0-85028395156
"Trueblood, J.S., Yearsley, J.M., Pothos, E.M.","A quantum probability framework for human probabilistic inference",2017,"Journal of Experimental Psychology: General","146","9",,"1307","1341",,,10.1037/xge0000326,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021798452&doi=10.1037%2fxge0000326&partnerID=40&md5=0bfff8ad7f923852b032245c4f982f42",Article,,Scopus,2-s2.0-85021798452
"Savani, K., Stephens, N.M., Markus, H.R.","Choice as an engine of analytic thought",2017,"Journal of Experimental Psychology: General","146","9",,"1234","1246",,,10.1037/xge0000351,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028397752&doi=10.1037%2fxge0000351&partnerID=40&md5=e897695ec18c1b9f6cd4233129033fd6",Article,,Scopus,2-s2.0-85028397752
"Dannals, J.E., Miller, D.T.","Social norm perception in groups with outliers",2017,"Journal of Experimental Psychology: General","146","9",,"1342","1359",,,10.1037/xge0000336,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021846375&doi=10.1037%2fxge0000336&partnerID=40&md5=4be48a3ceb36abd1b59f7fa1aaa795de",Article,,Scopus,2-s2.0-85021846375
"Hitchcock, C., Rees, C., Dalgleish, T.","The devil's in the detail: Accessibility of specific personal memories supports rose-tinted self-generalizations in mental health and toxic self-generalizations in clinical depression",2017,"Journal of Experimental Psychology: General","146","9",,"1286","1295",,1,10.1037/xge0000343,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021739685&doi=10.1037%2fxge0000343&partnerID=40&md5=972978625e35d575a79e9cf447ece604",Article,Open Access,Scopus,2-s2.0-85021739685
"Choi, H.-Y., Kensinger, E.A., Rajaram, S.","Mnemonic transmission, social contagion, and emergence of collective memory: Influence of emotional valence, group structure, and information distribution",2017,"Journal of Experimental Psychology: General","146","9",,"1247","1265",,,10.1037/xge0000327,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028415196&doi=10.1037%2fxge0000327&partnerID=40&md5=501456b9410475aa44305d4bdd4eaa5b",Article,,Scopus,2-s2.0-85028415196
"Fritz, T.H., Brummerloh, B., Urquijo, M., Wegner, K., Reimer, E., Gutekunst, S., Schneider, L., Smallwood, J., Villringer, A.","Blame it on the bossa nova: Transfer of perceived sexiness from music to touch",2017,"Journal of Experimental Psychology: General","146","9",,"1360","1365",,,10.1037/xge0000329,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028390793&doi=10.1037%2fxge0000329&partnerID=40&md5=d96e3860888aabbef8f3d1ca80834124",Article,,Scopus,2-s2.0-85028390793
"Shu, J., Hassell, S., Weber, J., Ochsner, K.N., Mobbs, D.","The role of empathy in experiencing vicarious anxiety",2017,"Journal of Experimental Psychology: General","146","8",,"1164","1188",,,10.1037/xge0000335,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026456489&doi=10.1037%2fxge0000335&partnerID=40&md5=779d815a7ad66b45916156df5cab4623",Article,,Scopus,2-s2.0-85026456489
"Ma, A., Landau, M.J., Narayanan, J., Kay, A.C.","Thought-control difficulty motivates structure seeking",2017,"Journal of Experimental Psychology: General","146","8",,"1067","1072",,,10.1037/xge0000282,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026445456&doi=10.1037%2fxge0000282&partnerID=40&md5=be993d61a865e8609b22ebcdade09be1",Article,,Scopus,2-s2.0-85026445456
"Napolitano, C.M., Freund, A.M.","First evidence for ""the backup plan paradox""",2017,"Journal of Experimental Psychology: General","146","8",,"1189","1203",,,10.1037/xge0000331,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026450595&doi=10.1037%2fxge0000331&partnerID=40&md5=29963a99adae828f6dfac4e9e0849cc0",Article,,Scopus,2-s2.0-85026450595
[No author name available],"Erratum: Functional Architecture of Visual Emotion Recognition Ability: A Latent Variable Approach [Journal of Experimental Psychology: General., 145, 5 (2016)(589-602)] DOI: 10.1037/xge0000160",2017,"Journal of Experimental Psychology: General","146","8",,"1085","",,,10.1037/xge0000352,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026433294&doi=10.1037%2fxge0000352&partnerID=40&md5=ff4d9b84aba9528d9593bb6a8693f8bc",Erratum,,Scopus,2-s2.0-85026433294
